"filename", "language", "TypeScript", "JSON with Comments", "JSON", "HTML", "SCSS", "Markdown", "XML", "JavaScript", "SQL", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/search-results.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/simple-form-data.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/user-roles.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/user.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/newsletter/newsletter.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/newsletter/newsletter.component.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/newsletter/newsletter.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/newsletter/newsletter.component.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/add-note/add-note.component.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/add-note/add-note.component.scss", "SCSS", 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 6, 51
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/add-note/add-note.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/notes/add-note/add-note.component.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
