"filename", "language", "SCSS", "XML", "TypeScript", "HTML", "JSON with Comments", "JSON", "Markdown", "JavaScript", "SQL", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/register/register.component.html", "HTML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/register/register.component.scss", "SCSS", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/register/register.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/register/register.component.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/reset-password/reset-password.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/reset-password/reset-password.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/reset-password/reset-password.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/reset-password/reset-password.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/services/email.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/services/email.service.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/services/follower.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/services/follower.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/services/friends.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/services/friends.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/services/user.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/services/user.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/add-user/add-user.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/add-user/add-user.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/add-user/add-user.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/add-user/add-user.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/edit-user/edit-user.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/edit-user/edit-user.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/edit-user/edit-user.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/edit-user/edit-user.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/user-list/user-list.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/user-list/user-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/user-list/user-list.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/user-list/user-list.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/user.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/user.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/user.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/user/user.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/assets/icons/check-email-icon.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/assets/icons/email-icon.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/assets/icons/logo.svg", "XML", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
